@RELATION iris

@ATTRIBUTE Text STRING
@ATTRIBUTE class {0,1}

@DATA
'המלון פשוט הורס את הטיול  אין מעליתמדרגות צרות גבוהות והכי לא בטיחותיות שניתן למצוא  אינטרנט אלחוטי מזעזעבכניסה למלון סביר  החדרים קטנים בטירוףחלק מהחדרים לא ניתן אפילו לפתוח את המזוודה על הריצפה מחוסר מקום רק על המיטה  לא לכאלה שמחפשים להתפנק במל' ,0
'זה בית מלוןזה חירבה  אין מעלית  החדר קטן אין מזגן טלוויזיה משנות ה80 אין כבלים  ארוחת בוקר זה רק קפה' ,0
'חדר קטנטן שאי אפשר לפתוח בו את המזוודה אפילו רמת ניקיון ותחזוקה לא מוקפדים בחדר שלנו סבלנו ממכת יתושים ומי ששהה בחדר לפנינו נלחם בהם וכל התיקרה היתה מרוחה ביתושים עם דם' ,0
'יש קומקום עם כוסות שלא מוחלפות מנוקות ללא בקשה מיוחדת כיור סתום במקלחת שלמרות בקשותנו לא טופל כנל לגבי אור שלא עבד במקלחת והיה ממש חשוך והמחיר יקררר מאדדד שלא כולל אבוקר' ,0
'נמצא יחסית במרכז וקרוב להכל בשכונה שקטה ליד הונדל פארק רחוב ראשי קרוב עם מסעדות רבות ומגוונות וסופרמרקט ותחנת טראם 2 המביאה ליעדים מרכזיים' ,1
'חדרים קטנים מאוד  יחסית רחוק מהמרכז' ,0
'חדר קטן מאוד מאוד לזוגאין מקום להניח את המזוודה אפילואין שרות קבלה זמין במהלך כל היום לרבות בלילהנוף של בניין מהחלוןיש מועדון בכניסה למלון שעובד בסופש ומרעיש עד לקומה 2' ,0
'מיקום מעולהחדר נקי ומסודר כל יוםמכונת קפה  יש תחנת רכבת מתחת למלוןיש מסעדות ובתי קפי ואפילו מועדוני לילה עד השעות הקטנות' ,1
'יש קורות מאוד נמוכים בחדר צריך כל הזמן לבקש שמפו קפה ומגבות ניקיון ברמה נמוכה המיטה קטנההמדרגות תלולות התאורה טעון שיפור' ,0
'מיקום מעולה מזגן מעולה  מקלחת סבבה קפה טוב   מקלחת עם מים חמים' ,1
'מלון מיוחד חדר אינטימי ונעים מיטה נוחה בטירוף מיקום מושלםלהיות בלב ההתרחשות ויחד עם זאת שקט בחדרתמורה מעולה' ,1
'לא שווה את התמורה החדר פיצי ממש קטן היינו דחוסים שם ממש לא חוויה טובה' ,0
'אין קבלה מדרגות תלולות מאוד וחשוכות  חדר קטן מאוד אין מקום למזוודה' ,0
'מיקום מעולה  מקלחת מצויינת מלון מרכזי  חדיש  צוות מאוד נחמד ומסביר פנים' ,1
'חדר קטן ולא מסוגנן טוב  ונוף לתעלה היה מוגבל בחלונות שלא נפתחו  שילמתי על חדר יקר ללא ארוחת בוקר וזה לא היה שווה את זה' ,0
'מיקום מעולה  הצוות תמיד עוזר עם חיוך חדרים יפים ונוחים' ,1
'מלון חדש ברמה גבוה מאוד הצוות המקצועי נורא נחמד  החדר מאובזר היטב בכל הנדרש כלל מכונת נספרסו   המלון ממוקם במרחק הליכה של כעשר דקות מהדאם רמברנט ורבע שעה מהמרכזית  מאוד מומלץ' ,1
'ארוחת בוקר טובה  מארחים מאד אדיבים   מלון בעל אווירה חמימה ומיקום מצויין' ,1
'אינטרנט אלחוטי חלש בחדרים חדר קצת קטנטן' ,0
'צוות מקסים ועוזרמלון במיקום מדהיםקרוב לליידספליין ולדאםנקינוח ושקט' ,1
'הכריות היו מעט לא נוחות  חדרים די קטניםאבל בהחלט אפשר להסתדר' ,0
'הכריות לא היו נוחות נשפך בטעות קצת קפה על הסדין ולפי הכתם שנשאר זיהינו שלא הוחלפו לנו מצעים' ,0
'ממש מתחת לקופישופ הפי פילינגס ומרחק דקה מהקופישופ הדולפינס קרוב ללדספליין ולהמון חנויות שוות המקלחת הייתה נחמדה והמזרון די נוח' ,1
'אין מעלית והייתי צריכה להעלות את המזוודות 3 קומות במדרגות ממש צרות אין מקרר שום דבר בחדר חוץ ממיטה וארון קטן והחדר מממש קטן' ,0
'המיקום מושלם הלכנו לכול מקום ברגל הצוות נחמד' ,1
'השירות היה מצויין  החדר היה נקי  מלונית שקטנה באזור פצצה' ,1
'הצוות בקבלה מדהים ושירותי החדר שהיינו בו אומנם קטן אבל אין צורך ביותר מזה היה נקי ומסודר באופן יומיומי נהננו מאוד מהשהות מיקום מצויין בנוסף ממוקם ממש בין המרכזים העיקריים שהם כיכר דאם והליידספליין מרחק הליכה מהכל במידה ונשוב לאמסטרדם נחזור גם לשם ללא ספק' ,1
'מלון נעים במיקום מצוין תמורה מצוינת למחיר חדר קטן אך חמוד ונוח מאוד' ,1
'התאורה בחדר לא הייתה מספיק חזקה  אין מקרר בחדר' ,0
'מיקום מעולה  צוות אדיב ברובו' ,1
'אין מעלית   מדרגות צרות ומסוכנות' ,0
'מיקום מעולה  חדרים יפים ונוחים  קפה מצויין חופשי' ,1
'פקיד קבלה לא נחמד ולא ביצעו את ההשכמה שביקשנו כדי לא לפספס טיסה  מזל שהתעוררנו לבד  אין מזגן והיה חם' ,0
'חדר קצת קטן אבל מספיק למי שמתכוון לטייל החדרים ללא מיזוג והחדר היה חם ומחניק' ,0
'הכל חדש ונקי קרוב לתחנה מרכזית  צוות אדיב  מכונת קפה חופשית  המלון נמצא במיקום מרכזי הצוות אדיב וקיבל אותנו עם חיוך החדרים נקיים והאמבטיה חדשה ויפה' ,1
'המלון במיקום טוב כ7 דקות מכיכר דאם ו4 דקות מתחנת הרכבת  ארוחת בוקר כפי שנהוג לקבל באירופה ביצים גבינה צהובה נקניקים קפהלחם ופירות  חדרים נקיים ומסודרים וצוות אדיב' ,1
'בחדרים יש ריחות חזקים של נבלה או משהו לא מוסבר וקצת לא נעים להריח את זה' ,0
'חדר קטנטן וצפוף מעלית איטית בטירוף מדרגות תלולות מאוד' ,0
'מקום מצוין ממוקם טוב עם שפע תחבורה ציבורית סביב  מכונת קפה מצוינת ופירות בשפע  בקיצור אל תהססו' ,1
'המלון טוב משופץ ומחודש מבפנים יפה יש מעלית שזה בונוס גדול מאוס באמסטרדם  ממליץ לקחת עם ארוחת בוקר כדיי לחסוך זמן בבקרים  המלון וסביבתו בטוחים שקט מאוד והצוות טוב ועונה על כל הדרישות' ,1
'ארוחת בוקר מצויינת  מגוונת  משביעה  חדרים מרווחים ונקיים  מיקום מעולה  10 דקות לכיכר דם  7 דקות לרובע החלונות האדומים  5 דקות לתחנה המרכזית  מקום נעים ובייתי  הצוות מקסים' ,1
'החדר היה בעליית גג מחניק ללא מזגן ללא אפשרות לפתוח חלון והכי מוזר  הרצפה הייתה עקומה כן כן 2 מעלות   אין מעלית נורמלית אלא רק מעלית משא איטית וגם היא רק עד קומה 2 מעבר לזה צריך לעלות בגרם מדרגות צר וקטן ובקושי הצלחתי להעלות את המזוודות זוועה' ,0
'ניקוי מסודר צוות מדהים וקשוב' ,1
'שירות מצויין מוניות בשפע  תמורה מלאה למחיר חדר ואמבטיה כחדשים לובי מפואר קרוב למרכז' ,1
'WiFi כל הזמן נפל חדרים קטנים יחסית למחיר' ,0
'ארוחת בוקר בונוס רציני    צוות מדהים ועוזר בעל דבר  מיקום מצויין' ,1
'לא בעל החדרים יש שרותים ומקלחת צמודים  אין מעלית  מדרגות קשות מאוד לעלייה' ,0
'מיקום מעולה נמצא במרכז קרוב להכול חדר נוח וארוחת בוקר צופר אמיתי ניתן להגיע מאוטובוס מספר 4 מהתחנה המרכזית ישירות למלון נסיעה של 5 דקות' ,1
'מארחים מאוד אדיבים ומשתדלים להנעים את השהות המלון ברמה גבוהה מיקום טוב' ,1
'תמורה מצוינת למחיר ארוחת בוקר סבירה וצנועה אחלה צוות מיקום מצויין' ,1
'מעברים וגרמי מדרגות צרים ללא מעלית  קשים עם מטען רב ובטח עם משפחה שצריכה לעזוב לשדה התעופה באמצע הלילה   החדרים אינם ממוזגים' ,0
'צוות מאוד אדיב וקואופרטיבי היינו זוג וארבעה ילדים בחדר מרווח מאוד שנתן מענה טוב לכל המשפחה  מחיר סביר נקי אינטרנט אלחוטי חינם ארוחת בוקר סבירה כלולה במחיר' ,1
'' ,1
'המיקום נהדר פחות מרכזי אבל עם טראם תוך 2 דקות אתה במרכז המלון נוח נקי ומודרני הוספנו ארוחת בוקר והיא נהדרת אם מזמינים את הארוחה ערב קודם העלות היא 75 יורו לאדם' ,1
'חדר קטנטן חסרות מנורות על יד המיטה קשה התנייד בחדר' ,0
'מעולה הרבה יותר ממה שציפינו החדר נראה קטן בתמונות אך נוח ומרווח במציאות המיקום טובכחצי שעה הליכה באיזורים יפים ונוחים עד למרכז למי שפחות בעניין של הליכה יש תחנה חשמלית כ2 דקות הליכה מהמלון' ,1
'חדר קצת קטן וחשוך אין מקרר בחדר  אין לובי במלון   ארוחת בוקר דלה מאוד' ,0
'חדר נקי מטופח הכל חדש ונראה מצויין המכונת נספרסו בחדר הייתה שדרוג מעולה גם המיקום באזור שקט ונעים ולא רחוק מהמרכז הסואן' ,1
'ארוחת בוקר מצוינת   תחנת המטרו והרכבת ממש ממול המלון ומגיעים לכיכר דאם תוך רבע שעה' ,1
'ארוחת בוקר מעולה מעבר לכל הציפיותמעבר לארוחת בוקר רגילה היו פינוקים כולל וופל בלגי פנקייקים קפה מצויין בקיצור מכל טוב צוות אדיב מלון נקי מיקום מצויין' ,1
'המלון הזה מומלץ מאוד המיקום הוא ממש מול לתחנת הרכבת והמטרו מסביבו יש המון חנויות כמו דקטלון ועוד המלון עצמו מפנק בארוחת בוקר טובה ניקיון החדרים ברמה גבוהה והצוות אדיב וחייכן תמיד יש בלובי 2 קנקני מים אחד עם לימון ואחד עם מלפפונים מידי פעם תוכלו למצוא שם עוגה או שוקו חם' ,1
'מלון נהדר שירות אדיב חדרים מתוחזקים באופן נפלא בחדר הרחצה מקלחון נח ארוחת בוקר מספקת ומגוונת הכוללת מגוון נרחב  אין מקרר בחדר  הגעה למלון קלה ומהירה' ,1
'החדרים לא מחוממים מספיק  לא תמיד הניקיון בחדר היה מוקפדבדכ היה רק סידור מיטה ולא לקחו כוסות משומשים' ,0
'מלון מעולה מיקום מצוין ממש ליד התחנה המרכזית היינו בהופעה באיצטדיון הארנה  דקת הליכה מהמלון ארוחת בוקר מצוינת  נוח מאוד בטוח שנחזור לשם שוב בפעם הבאה שנחזור לאמסטרדם' ,1
'ארוחת בוקר ברמה נמוכה  ללא גיוון בכלל 2 מיטות וחצי בצידי החדר במקום מיטה זוגית גדולהאין מקרר או אין  ארונות בגדים' ,0
'חדרים סטנדרטיים מאוד נקיים ושקטים צוות אדיב לכל בקשה המלון יפה נקי וכיפי נמצא בדיוק ממול לתחנת הרכבת ארנה' ,1
'לא עבד המזגן בחדר החדר טיפה קטן כריות רכות מידי' ,0
'צוות מקסים ושירותי ברמה גבוהה  קרוב מאוד למטרו 100 מטר  ארוחת בוקר יפה מאוד' ,1
'צוות נפלא החדר נוח ומנקים אותו כל יום ומחליפים מגבות ומצעים ארוחת בוקר מספקת' ,1
'מלון נעים ארוחת בוקר טובה מגוונת מיום ליום' ,1
'הגענו 6 חברים יחד והזמנו חדר טווין ונתנו לנו לישון על ספא כמיטה ביקשנו  בספא ובקבלה להזמין מסאז ואמרו לנו לצערם אין במלון היום לא נקי ארוחת בוקר עלובה  בריכה קרה' ,0
'תמורה טובה ומלאה לכסף אדיבות ושירות מעולה מקום מושלם' ,1
'מלון ספא נהדר בריכה מחוממת 3 סוגי חמאם  חדר אוכל טוב צוות מעולה  מקום נחמד יפה נקי צוות מדהים' ,1
'מיקום מאוד מרוחק מהמרכז ארוחת בוקר דלילה  הצוות במלון לא אדיב ולדעתי טעון שיפור' ,0
'מלון נחמד חדרים גדולים ומרווחים  איזור הספא כיף' ,1
'מיקום גרוע פוגע בחוויית הטיול' ,0
'המיקום מאוד טוב ונוח קרוב לתחנת הרכבת החדרים מאוד נוחים ומרוחים מיטות מאוד נוחות בקיצור ממליץ מאוד' ,1
'אין מזגן בחדרים הבודדים שירות לא טוב  הגיע הזמן לשפר את תנאי המגוריםריהוט ישן טלויזיה משנת תרפט לא מכבדת את המקום' ,0
'החדר לא נוח במיוחדהשרותים צפופים מאוד חדר האוכל עים שולחנות לא נוחים בכלל ואין מספיק מקום לכל האורחים' ,0
'הכל מגעיל גם רחוק וגם שירות על הפנים זה אם מצאת שירות אפילו מגעיל על הפנים' ,0
'הכל אין אוויר בחדר ריח של מחסן  אמבטיה הזויה קטנה וגבוהה מאוד ארוחת בוקר דלה אכלתי לחם בלבד  כלבים ברחבי המלון' ,0
'יחס  מצויין של הצוות סדר וניקיון  את האמת הכל היה מושלם' ,1
'הכל מעולה  מקום ממש טוב' ,1
'החדרים גדולים ומרווחים מפנקים וכוללים מטבח מאובזר טלוויזיה מזגן וכל מה שצריך כדי להרגיש בבית המחיר אחלה וזול שווה ביחס לתמורה' ,1
'הצוות שדיבר אנגלית טובה היה מצוין ושמח לעזור  החדר אחורי פנה לגינה והיה שקט מאד המטבח המלא כלל גם מכונת כביסה המזגן פעל היטב' ,1
'הארוחה הייתה לכל  בינונית ובעייתית המיקום רחוק מהמרכז בהליכההמחיר קצת גבוה ביחס למלונות אחרים' ,0
'הצוות מאוד אדיב  המלון הוא מלון בוטיקי  החדרים מרווחים ומאוד נקיים  בחדר יש מכונת כביסה ומטבח מאובזר' ,1
'מלון עם חדרים גדולים ומאובזרים נקי מאוד ושקט צוות אדיב ותמיד מוכן לעזור  מיקום טוב מטרו קרוב מאוד' ,1
'צוות אדיב מיקום מצויין חדרים מרווחים ונקיים בהחלט הייתי חוזר שובמתאים מאוד למשפחות' ,1
'חדר נעים ומרווחנקי ומודרני  מיקום מעולה במרכז העיר צוות נעים שירותי וסימפטי' ,1
'הדירה משופצת כחדשה ובסטנדרט גבוה מאוד מיקום מצויין שירות אדיב הדירה מאובזרת בכל מה שצריך ניקיון ותחזוקה מושלמים' ,1
'הכל היה מעולה ומעל הציפיות  חדר גדול ומרווח עם מרפסת ונוף אורבני  תקרה גבוהה כמו שבנו פעם  ניקיון מושלם  מנקים ומסדרים את החדר למופת כל יום  מחליפים סדינים כל יום גם למיטת תינוק אפילו שלא מלוכלך  צוות אדיב ונחמד מאוד' ,1
'יקר מאוד הרמה בסדר ארוחת בוקר סטנדרטית ללא אפשרות לשינוי אין גיוון ישיבה לא נוחה' ,0
'מצב אינסטלציה בעייתי מאוד  כל יום היה סירחון של ביוב בחדר בגלל צינורות ישנים להוריד מים כחצי שעה  אחרי זה הסירחון היה נעלם לבסוף נסתמו גם יציאות מים בכיור הרחיצה וגם במקלחת  גם אין אטימת רעשים בחדר' ,0
'מיקום אידיאלי נקי מאוד חדר גדול מרווח חדר רחיצה ענק עם סאונה טובה בפנים' ,1
'ממוקם במרכז ונגיש להכל חדר ענק מפנק ומאובזר טוב מאד' ,1
'אין מים חמים במקלחות מצב חדר ירוד  במהלך השהות לא מנקים את החדר אין החלפת מצעים ומגבות ופחים' ,0
'המתקן להזרמת מיים בשרוקלחת עשה רעש מזעזע בזמן כל שימוש אפשרי וזה גרם תחושה נוראית במיחד מוקדם בבוקר ומאוחר בלילה  אחת הארוחות קיבלתי חשבון מוגזם שונה בהרבה מהתפריט' ,0
'יש שמירת חפצים מאוד חביבים   רוב הצוות אדיב וקשוב ללקוח החדר ונוח ובעל מראה נעים' ,1
'המקום מרגיש כמו אכסניה השכונה הרגישה קצת מפחיד  לא במרכז כמו שכתוב  הגישה הראשונית למלון הייתה קצת מסובכת' ,0
'החדר שהיינו היה ממש גדול  2 מיטות זוגיות  ארוחת הבוקר הייתה מפתיעה' ,1
'המיטה לא נוחה מרגישים את הקפיצים אין נקיון לחדרים אין זרם מים המים החמים נגמרים בכמה דקות עד שמגיעים לחדר זה 2 מעליות ולעבור מסדרונות  הקרמיקה בריצפה שבורה ומסוכנת  המקום לא מתוחזק טוב' ,0
'אין ארוחת בוקר נורמלית ניקיון לוקה בחסר לא נגיש לתינוקות אין מיטת תינוק  ובקבלה מציינים שהתשלום עבור עוד לילה אין כלום בסביבה חוץ ממסעדה מחוץ למלון ולא קשורה אליהם' ,0
'צוות ידידותי ומנומס המבנה נחמד ומטופח לובי ומסעדות המלון ברמה טובה' ,1
'בית מלון מצוין ועונה לכל הדרישות של המטייל קרוב לתחנת המטרו  ומרכז קניות צוות מקצועי וענייני  ארוחת בוקר סבירה וטעימה במחיר זול' ,1
'רחוק מכל מרכז הפעילות  אין קומקום בחדר  לא זיכו על יום נוסף שלצערי התפספס' ,0
'חוסר הקפדה על הדברים הקטנים חסר מדף בחדר הרחצה טלויזיה קטנה מאוד הכביש הראשי רועש מאוד וקשה למי שסובל מהרעש' ,0
'שירות אדיב ומשתדל ארוחת בוקר נחמדה חדר מרווח ומאובזר מיטה נוחה' ,1
'השירות והיחס שאתה מקבל שם זה להרגיש בבית כל הזמן דאגו שיהיה לי שם טוב המיקום הוא ממש במרכז ולכן המיקום הוא ממש נוח' ,1
'אהבנו את המיקום הצוות במיוחד את ירוסלבה ואנה עזרו המון החדר מרווח נקי ושקט ארוחת בוקר בופה טובה' ,1
'צוות מדהים מקום יפה ממוקם טוב וויפי בחדרים  המיטות נוחות ממש  המחיר לתמורה ממש שווה' ,1
'אינטרנט על הפנים יחס לא טוב מהצוות מחיר יקר' ,0
'מלון המחייב יציאה לחצר פנימית במעבר מהקבלה לחדר מאוד לא נח במזג אויר גשום וכולי  אינטרנט רופף' ,0
'לא אהבנוהמיטה היתה שבורה צד אחד היה שקוע   לא היה מרכך שיער' ,0
'דירה נקיה מרווחת הייתי לבד והרגשתי מלך הבניין הכי יפה ברחוב הכי מרכזי בקייב' ,1
'מקום מדהים גם מבחינת הניקיון גם מבחינת יופי של הדירה  ביקשנו שיאספו אותנו מהשדה וגם הביאו מפתח של הדירה   המיקום מושלם בקיצור מומלץ ביותר' ,1
'4 קומות ללא מעלית  מפקיעים מחירים לשירות ההסעה  מיטה ממש לא נוחה  הצוות לא עוזר בפיתרון בעיות כלל' ,0
'הפעם אפשר לומר שאהבנו את הכל האזור מאוד קרוב  הצוות מאוד נעים ואווירה במלון נעימה הכל נראה חדש  מיטות נוחות ארוחת בוקר טובה מאוד מהמסעדה שבקומה 15 יש נוף מדהים פשוט רואים את כל העיר ההיסטורית כמו פנורמה  שורה תחתונה  המלון עומד בציפיות ואף יותר' ,1
'קבלת פנים יפה  הבנות בקבלנו נענו לכל דרישה שלי מאוד נחמדות תודה לכם צוות המלון  ארוחת בוקר טוב מאוד' ,1
'מלון מצויין חדרים מרווחים ריהוט חדישמקלחת מבריקה ארוחת הבוקר נהדרת בחדר אוכל בקומה 15 עם נוף פנורמי לכל העיר צוות ידידותי מסייע בכל בקשה מומלץ בחום' ,1
'מלון נהדר שקט חדרים מרווחים מיטה נוחה להפליא ארוחת בוקר בסדר גמור הכל טרי מוגש בצורה אסטטית' ,1
'החדר עצמו גדול ונוח המקלחת מרווחת ונוחה  ארוחת הבוקר מגוונת ועשירה והצוות בחדר האוכל נעים ואדיב  בקבלה מאוד אדיבים ומשתדלים מאוד לעזור אנחנו קיבלנו את החדר לקראת הצהריים מיד כשהגענו ומאוד התעניינו אם הוא לרוחנו' ,1
'צוות הקבלה היה מצויין נתן אינפורמציה ברורה ומאוד השתדל  החדרים נקיים וארוחת הבוקר טובה   ארוחת הערב במסעדת המלון היתה נהדרת' ,1
'קיבלתי שתי מיטות יחיד ולא מיטה זוגית החליפו חדר וכמו כן המיזוג היה גרוע ביותר בשתי החדרים ופשוט סיוט' ,0
'מלון מצויין החדרים גדולים נקיים ומרווחים הצוות מאוד אדיב ועוזר בכל שאלה   ארוחת בוקר עשירה וטובה מאוד בופה ברמה טובה שווה כל שקל להזמין בראש  מומלץ ביותר' ,1
'צוות המלון מעולה ודואג להכל מהרגע בראשון ועד העזיבה' ,1
'מלון יפהנקי מבריקצוות מאיר פנים מסייע בסובלנות לאורחים מיקלחת ושרותים נקיים חדשים מבריקיםאחלה מלון' ,1
'WIFI חלש מאוד וארוחת בוקר יקרה לעומת אירופה חבל' ,0
'מגבות ישנות וכבר לא לבנות חוטים יוצאים הדבר הפריע לי בבוקר החדר מאוד מואר וזה מפריע לישון' ,0
'המיקום של מלון דירות מעולה  מסעדות בקרבת מקום מעולות  הצוות מעולה ונמצא שם כל הזמן בקבלה ותמיד שמחים לעזור' ,1
'חדרים חדשים ויפים צוות נהדר מים חמים לכל אורך היום פינת קפה מפנקת' ,1
'חדר גדול ומרווח נקי כולל מגבות וסאונה נפרדת  מקלחת גדולה  מעולה בכללי' ,1
'מזרון לא נוח מרגישים את הקפיצים בצלעות החימום של המזגן לא עבד טוב לא חימם כלל' ,0
'המידע שקר זה מתוארת בפרסום  המקום נמצא בתוך חצר מטונף  בבוקר  פתחנו חלון על מנת לארוורר את החדר  גל של ריח של זבל' ,0
'היה מצויין תקשורת עם האנשים במלון היתה באנגלית וללא בעיה' ,1
'החימום לא עבד צפוף נורא אין מעלית פשוט מאוד שמפו בקמצנות אין מרכך  פקיד עצלן בלי טיפ לא זז' ,0
'אינטרנט לא עובד  לא מחליפים מצעים וכיסוי שמיכה מלוכלך   רעש של זרימת מים בחדר ללא הפסקה' ,0
'ניקון יום יומי בחדר מגבות החליפו כל יום  סופק חלוק ונעלי בית  צוות המלון אדיב ונעים ענה ועזר בכל שאלה' ,1
'יחס ידידותי היחידים בעיר שהם דוברי אנגלית טיפים לסיורים ארוחת בוקר דשנה   מקום שקט בעיר ולא במרכז אלא ליד פארק עם אגם' ,1
'היה מלון מעולה אנשיםטובים צוות עובדים טוב' ,1
'חסר בריכה מיטה קשה מאוד  ארוחת בוקר  יקרה' ,0
'מלון קטן ואינטימישרות מעולה  נקי שקט חדרים מרווחים תמורה מלאה למחיר' ,1
'מארחים אדיבים ספא מפואר חדר מרווח ומאוד נקי  מלון מומלץ ונמצא במקום מרכזי' ,1
'ארוחת בקר מצויינת ברמה צוות משתף ועוזר  בקיצור מלון מצויין' ,1
'מלון מעולה אלגנטי ומטופחצוות מסביר פנים ומקצועי' ,1
'תמורה גרועה למחיר בהתחשב במלונות אחרים במחיר לא טוב' ,0
'ישנם מים חמים במקלחת אבל לעיתים זה נגמר ולאחר מכן לחכות שוב עד שיתחמם לא אהבתי את השמפו של המלון' ,0
'מדובר בדירה בסגנון בית מלון שירות ניקיון לחדר בנוסף ליחסים נעימים מאוד תוך התחשבות בשוהים אחרים מקום אירוח שקט קרוב למרכז העיר קייב הייתי ממליץ לצעירים' ,1
'המיקום של המלון במרכז העיר ברחוב קטן וצדדי במקביל לרחוב הראשי מה שנותן שקט   החדרים היו נקיים גדולים ומרווחים wifi עבד מצוין  מחיר זול ושווה' ,1
'עיצוב החדר פשוט וקצת מיושן טפטים ובד חום כווילון אולם חדר פרקטי בחדר אין טלוויזיה  המזרן עם קפיצים ומעט לא נוח' ,0
'המזגן יעיל מאוד וחרישי החדר נקי מאוד וכול יום מסדרים ומנקים אותו חדר האמבטיה בעל מקלחת אסלה וכיור נקי ומצוחצח וכול יום מחליפים מגבות ומוסיפים סבונים ושמפו' ,1
'מיקום מצויין נמצא ברחוב המקביל לרחוב הראשי  החדר שקיבלנו היה מרווח נקי מאוד ומסודר' ,1
'שהייה שקטה נעימה מאוד מחיר זול נגישות למוניות מקום קרוב למרכז העיר מומלץ לצעירים וקבוצות קטנות' ,1
'צוות מקסים שידרגו לנו את החדר נתנו מתנה בבואנו והסבירו כל מה שהיינו צריכים בסבר פנים יפות  נורא כיף שיש קניון קטן צמוד למלון ובאולינג' ,1
'צוות נהדר מוכן לעזור כל הזמן וייעץ לנו לאורך כל הטיול קבלת פנים עם פירות בחדרמאוד ריגשו אותנו לקחו אותנו מהשדה חינם וגם בחזור יחס ממששש טוב' ,1
'חבל שאין בריכה במלון  מיקום בעייתי  המיטה קטנה לא מתאים לזוג במקלחת המים גולשים מהמקלחון' ,0
'בכל הימים היו בעיות של מים חמים וזה קורה בבוקר באמצע מקלחת ובלילה לפני השינה מאוד לא נעים  טלוויזיה בכל הימים מסך שחור אין כלום אין תישדורת בכל המלון בקיצור גועל נפש' ,0
'שומעים הכול מה שקורה בחדרים ליד פשוט נורע  מגבות סדנים קרואים  חדר לא נקי יומים לא עבדה טלביזיה  ביקשתי מ2 פקידות שונות לטבל בבעיה ללא תשובה' ,0
'לא מחליפים מגבות כל יום אין מעלית' ,0
'הצוות היה אדיב מאוד מיקום המלון מעולה ברכז העיר חדשרים נקיים ונוחים' ,1
'אין מעלית זרם המים קומה 4 לא משהו מזרון לא משהו' ,0
'אין מעלית קירות דקים שומעים כל מה שקורה בחדרים הסמוכים וגם בקומה שמעל רצפת עץ חורקת עם כל צעד תאורה לא מספקת' ,0
'מסודר ונקי העובדות אדיבות החדר נוח ומיקום המלון מצוין  שקט וקרוב למרכז  ניתן להזמין הסעה משדה התעופה וחזרה' ,1
'החדר היה פחות טוב לא היה שלט למזגן וגם לא מצאו אחד היתה סתימה במקלחת' ,0
'אין מעלית  חדר בקומה רביעית  מיטה מרעישה אקוסטיקה נוראית  שומעים את הנעשה במסדרון וגם חדרים סמוכים שלט למזגן קיבלנו אחרי שהתלוננו  זרם המים במקלחת ובאסלה שערורייתי' ,0
'המיטה  נוראיתקפיצים של מזרון חודרים לגב שומעים הכל בין חדר לחדר אין בכלל פרטיות אין מעלית הכל מדרגות' ,0
'המיטה  נוראית קפיצים של מזרון חודרים לגב שומעים הכל בין חדר לחדר אין בכלל פרטיות אין מעלית הכל מדרגות' ,0
'מעלית קטנה לא נוחה בכלל ישנה מאוד ולכן מפחיד חדר מדרגות ישן ומלחיץ נתקלנו בשיכור שרוע בחדר המדרגות ליד המעלית היינו שתי בנות ולכן חששנו לרדת ולעלות במיוחד בשעות הלילה' ,0
'הצוות היה מקסים  ממש הרגשתי שהם רק מחכים שאבקש משהו  השירות לא היה מתוך כורח אלא מתוך אהבה אמיתית לתפקידם' ,1
'הייתי בשני חדרים ושניהם היו נהדרים באמת מומלץ' ,1
'הצוות מדהים האוכל מעולה רצים לעזור מיד הקדימו את הצק אין לבקשתי ללא תמורה נוספת אין מילים' ,1
'צוות המלון מאוד שירותי נכון לעזור ארוחת בוקר טובה האומנם חוזרת על עצמה מלון מאוד מאוד נקי מיקום קרוב יחסית למרכז קניות ולקניון OCEN למי ששוכר רכב מקום מושלם' ,1
'החדר קצת קטןארון בגדים קטן ולא מסודר ביעילות ארוחת בוקר מוגבלת וצריך לבחור מתוך 3 4 אפשרויות יחסית לקייב יקרה ולא מומלץ ניתן להיעזר בסופרמרקט הגדול הצמוד למלון' ,0
'המטבח מאוד קטן ואין שולחן אוכל למשפחה  תחזוקה לקויה הוילון נפל מהתקרה מתקן הנייר טואלט התנתק מהקיר אין ארוחת בוקר טבעונית' ,0
'הצוות נהדר מסייע בכל מה שניתן אדיבים מאוד מלון יפה' ,1
'מארחים אדיבים חדר נקי ומסודר ארוחת בוקר מעולה' ,1
'החדרים מרווחים ונקיים יש חימום מעולה בחדר אינטרנט אלחוטי מצויין הצוות אדיב ו חייכן' ,1
'המלון הוא בניין עתיק ומרשים מאוד נעים לשהות בו החדר היה גדול מאוד ונעים  הצוות מאוד ידידותי ומועיל  נהנו מאוד  רב תודות' ,1
'לא תואם את הנראות באתר ובפרסומים ריח של לחות בחדר באמבטיה הייתה נזילת מים הדלת כל הלילה עשתה רעשים בגלל הרוח' ,0
'מיטה מתנדנדת ההוא שמתחתי זז כל הלילה ולא הצלחתי לישון ניקיון לא הכי טוב יש הרבה גוקים נמלים וזוחלים ומעופפים אחרים  צריך לרסס' ,0
'יחס אישי חדר ושירות יוצא מהכלל מלון ברמה גבוהה מאוד' ,1
'צוות נפלא  מלון יפייפיה יחס אישי מיקום מעולה  מלון ברמה שרות איכותי ארוחת בוקר מספקת מיקום מעולה נהנו' ,1
